Overview	نمای کلی	عمومي کتنه	نظرة عامة
Websites	وب‌سایت‌ها	وېبپاڼې	المواقع
Pages	صفحه‌ها	پاڼې	الصفحات
Theme & Appearance	پوسته و ظاهر	بڼه او پوښ	القالب والمظهر
Appearance	ظاهر	بڼه	المظهر
Media library	کتابخانه رسانه	د رسنیو کتابتون	مكتبة الوسائط
Templates	قالب‌ها	قالبونه	النماذج
Languages	زبان‌ها	ژبې	اللغات
Currencies	ارزها	اسعار	العملات
Menus	فهرست‌ها	غورنۍ	القوائم
Global components	اجزای سراسری	ګډې برخې	المكونات العامة
Team	تیم	ډله	الفريق
Settings	تنظیمات	امستنې	الإعدادات
Users & roles	کاربران و نقش‌ها	کارنان او رولونه	المستخدمون والأدوار
Activity log	گزارش فعالیت	د فعالیتونو ثبت	سجل النشاط
Inbox	صندوق پیام‌ها	د پیغامونو صندوق	صندوق الوارد
Products	محصولات	محصولات	المنتجات
Orders	سفارش‌ها	سپارښتنې	الطلبات
Name	نام	نوم	الاسم
Full name	نام کامل	بشپړ نوم	الاسم الكامل
Email address	نشانی ایمیل	برېښنالیک پته	البريد الإلكتروني
Password	رمز عبور	پټنوم	كلمة المرور
Current password	رمز عبور فعلی	اوسنی پټنوم	كلمة المرور الحالية
New password	رمز عبور جدید	نوی پټنوم	كلمة المرور الجديدة
Confirm password	تأیید رمز عبور	پټنوم تایید کړئ	تأكيد كلمة المرور
Change password	تغییر رمز عبور	پټنوم بدلول	تغيير كلمة المرور
Save	ذخیره	خوندي کول	حفظ
Cancel	لغو	لغوه کول	إلغاء
Delete	حذف	ړنګول	حذف
Edit	ویرایش	سمون	تعديل
Add	افزودن	زیاتول	إضافة
Create	ایجاد	جوړول	إنشاء
Close	بستن	تړل	إغلاق
Continue	ادامه	دوام	متابعة
Back	بازگشت	شاته	رجوع
Previous	قبلی	مخکینی	السابق
Next	بعدی	بل	التالي
Remove	برداشتن	لرې کول	إزالة
Retry	تلاش دوباره	بیا هڅه	إعادة المحاولة
Search	جستجو	لټون	بحث
Title	عنوان	سرلیک	العنوان
Description	توضیحات	تشریح	الوصف
